Titel,Kontext,Frage,Antwort
"Ferienbezug für Lehrlinge nach schweizerischem Gesetz","Nach schweizerischem Recht haben Lehrlinge Anspruch auf mindestens vier Wochen Ferien pro Jahr, von denen mindestens zwei Wochen zusammenhängend sein müssen. Diese Ferien müssen während der Dauer des Arbeitsverhältnisses gewährt werden und können nicht durch eine finanzielle Abgeltung ersetzt werden.","Wie ist der Ferienbezug für Lehrlinge in der Schweiz geregelt?","Nach schweizerischem Recht haben Lehrlinge Anspruch auf mindestens vier Wochen Ferien pro Jahr, von denen mindestens zwei Wochen zusammenhängend sein müssen."
"Regelungen zum Ferienbezug für Lehrlinge in der Schweiz","In der Schweiz haben Lehrlinge das Recht auf mindestens vier Wochen Ferien im Jahr. Mindestens zwei dieser Wochen müssen zusammenhängend sein. Es ist wichtig zu beachten, dass diese Ferien während des Arbeitsverhältnisses genommen werden müssen und nicht durch eine finanzielle Kompensation ersetzt werden können.","Wie sind die Bestimmungen für den Ferienbezug für Lehrlinge in der Schweiz?","In der Schweiz haben Lehrlinge das Recht auf mindestens vier Wochen Ferien im Jahr."
"Anrechnung von Ferien und Feiertagen im schweizerischen Lehrlingsgesetz","Nach schweizerischem Recht fallen Feiertage, die auf einen normalen Arbeitstag fallen, nicht unter die Ferienzeit eines Lehrlings. Das bedeutet, dass diese Tage nicht von den Ferien eines Lehrlings abgezogen werden. Ebenso werden Feiertage nicht als Arbeitstage gezählt, wenn sie auf einen normalerweise arbeitsfreien Tag fallen.","Wie werden Ferien und Feiertage im schweizerischen Lehrlingsgesetz angerechnet?","Nach schweizerischem Recht fallen Feiertage, die auf einen normalen Arbeitstag fallen, nicht unter die Ferienzeit eines Lehrlings. Das bedeutet, dass diese Tage nicht von den Ferien eines Lehrlings abgezogen werden."
"Regelungen zur Anrechnung von Ferien und Feiertagen für Lehrlinge in der Schweiz","In der Schweiz fallen Feiertage, die auf einen regulären Arbeitstag fallen, nicht unter die Ferien eines Lehrlings und werden somit nicht von den Ferien des Lehrlings abgezogen. Ebenso werden Feiertage nicht als Arbeitstage gezählt, wenn sie auf einen normalerweise arbeitsfreien Tag fallen.","Wie werden Ferien und Feiertage für Lehrlinge in der Schweiz angerechnet?","In der Schweiz fallen Feiertage, die auf einen regulären Arbeitstag fallen, nicht unter die Ferien eines Lehrlings und werden somit nicht von den Ferien des Lehrlings abgezogen."
"Kürzung von Ferien gemäß dem Gesamtarbeitsvertrag (GAV) in der Schweiz","Nach schweizerischem Recht ist die Kürzung von Ferien im Allgemeinen nicht zulässig. Es gibt jedoch Ausnahmen, bei denen der Gesamtarbeitsvertrag (GAV) eine Kürzung ermöglicht, wenn der Lehrling eine bestimmte Anzahl von Arbeitstagen verpasst hat. Diese Regelung kann jedoch nur unter bestimmten Bedingungen und in Übereinstimmung mit den gesetzlichen Bestimmungen angewendet werden.","Wie ist die Regelung zur Kürzung von Ferien gemäß dem Gesamtarbeitsvertrag (GAV) für Lehrlinge in der Schweiz?","Nach schweizerischem Recht ist die Kürzung von Ferien im Allgemeinen nicht zulässig. Es gibt jedoch Ausnahmen, bei denen der Gesamtarbeitsvertrag (GAV) eine Kürzung ermöglicht, wenn der Lehrling eine bestimmte Anzahl von Arbeitstagen verpasst hat."
"Regelungen zur Kürzung von Ferien gemäß dem Gesamtarbeitsvertrag (GAV) für Lehrlinge in der Schweiz","In der Schweiz ist eine Kürzung der Ferien generell nicht erlaubt. Allerdings kann der Gesamtarbeitsvertrag (GAV) Ausnahmen vorsehen, wenn der Lehrling eine bestimmte Anzahl von Arbeitstagen verpasst hat. Eine solche Kürzung kann jedoch nur unter bestimmten Voraussetzungen und in Übereinstimmung mit den gesetzlichen Bestimmungen erfolgen.","Wie sind die Bestimmungen zur Kürzung von Ferien gemäß dem Gesamtarbeitsvertrag (GAV) für Lehrlinge in der Schweiz?","In der Schweiz ist eine Kürzung der Ferien generell nicht erlaubt. Allerdings kann der Gesamtarbeitsvertrag (GAV) Ausnahmen vorsehen, wenn der Lehrling eine bestimmte Anzahl von Arbeitstagen verpasst hat."













