"Die Bildung findet an den drei Lernorten Lehrbetrieb, Berufsfachschule und überbetriebliches Kurszentrum statt. Die Ziele, die Bildungsinhalte und deren Aufteilung auf die Lernorte sind in den Bildungsverordnungen für die einzelnen Berufe respektive im jeweiligen Bildungsplan festgelegt. Die Verantwortlichen der drei Lernorte stimmen die Bildungsplanung gegenseitig ab.",Für was sind die Bildungsverordnungen zuständig? , für die einzelnen Berufe respektive im jeweiligen Bildungsplan 
"Die Bildung findet an den drei Lernorten Lehrbetrieb, Berufsfachschule und überbetriebliches Kurszentrum statt. Die Ziele, die Bildungsinhalte und deren Aufteilung auf die Lernorte sind in den Bildungsverordnungen für die einzelnen Berufe respektive im jeweiligen Bildungsplan festgelegt. Die Verantwortlichen der drei Lernorte stimmen die Bildungsplanung gegenseitig ab.",Was stimmen die Verantwortlichen der drei Lernorte ab? , die Bildungsplanung 
"Der Lehrbetrieb bildet die lernende Person in der beruflichen Praxis aus. Zu diesem Zweck schliessen beide Parteien vor Beginn der beruflichen Grundbildung einen schriftlichen Lehrvertrag ab, der vom kantonalen Berufsbildungsamt genehmigt werden muss.",Was bildet der Lehrbetrieb aus? , die lernende Person in der beruflichen Praxis 
"Der Lehrbetrieb bildet die lernende Person in der beruflichen Praxis aus. Zu diesem Zweck schliessen beide Parteien vor Beginn der beruflichen Grundbildung einen schriftlichen Lehrvertrag ab, der vom kantonalen Berufsbildungsamt genehmigt werden muss.",Welchen Vertrag schließen die Parteien vor Beginn der beruflichen Grundbildung ab? , einen schriftlichen Lehrvertrag 
"Der Lehrbetrieb bildet die lernende Person in der beruflichen Praxis aus. Zu diesem Zweck schliessen beide Parteien vor Beginn der beruflichen Grundbildung einen schriftlichen Lehrvertrag ab, der vom kantonalen Berufsbildungsamt genehmigt werden muss.",Was muss vom kantonalen Berufsbildungsamt genehmigt werden? , der schriftliche Lehrvertrag 
"Es können sich auch mehrere Lehrbetriebe zu einem Lehrbetriebsverbund zusammenschliessen und gemeinsam einen Bildungsplatz für die berufliche Praxis anbieten. Lehrwerkstätten können ebenfalls Lernende ausbilden. Es ist auch möglich, den Abschluss einer beruflichen Grundbildung in einem schulischen Vollzeitangebot zu erwerben (z.B. Handelsmittelschule, HMS, Wirtschaftsmittelschule WMS oder Informatikmittelschule, IMS).","Was können sich Lehrbetriebe zusammenschließen, um gemeinsam anzubieten? ", einen Bildungsplatz für die berufliche Praxis 
"Es können sich auch mehrere Lehrbetriebe zu einem Lehrbetriebsverbund zusammenschliessen und gemeinsam einen Bildungsplatz für die berufliche Praxis anbieten. Lehrwerkstätten können ebenfalls Lernende ausbilden. Es ist auch möglich, den Abschluss einer beruflichen Grundbildung in einem schulischen Vollzeitangebot zu erwerben (z.B. Handelsmittelschule, HMS, Wirtschaftsmittelschule WMS oder Informatikmittelschule, IMS).",Welche Art von Einrichtungen können ebenfalls Lernende ausbilden? , Lehrwerkstätten 
"Es können sich auch mehrere Lehrbetriebe zu einem Lehrbetriebsverbund zusammenschliessen und gemeinsam einen Bildungsplatz für die berufliche Praxis anbieten. Lehrwerkstätten können ebenfalls Lernende ausbilden. Es ist auch möglich, den Abschluss einer beruflichen Grundbildung in einem schulischen Vollzeitangebot zu erwerben (z.B. Handelsmittelschule, HMS, Wirtschaftsmittelschule WMS oder Informatikmittelschule, IMS).",In welchen schulischen Vollzeitangeboten kann man den Abschluss einer beruflichen Grundbildung erwerben? ," Handelsmittelschule, HMS, Wirtschaftsmittelschule WMS oder Informatikmittelschule, IMS "
"In den überbetrieblichen Kurszentren wird – ergänzend zur Bildung in Betrieb und Berufsfachschule – der Erwerb grundlegender praktischer Fertigkeiten vermittelt. Ob im entsprechenden Beruf ein überbetrieblicher Kurs erforderlich ist, wird in der jeweiligen Bildungsverordnung festgelegt. Die zu vermittelnden Lerninhalte sind ebenfalls in der Bildungsverordnung aufgeführt. Die Leistungen der Lernenden werden in Form von Kompetenznachweisen dokumentiert. Diese werden in Noten ausgedrückt und fliessen in einigen Berufen in die Berechnung der Erfahrungsnote ein.",Was wird in den überbetrieblichen Kurszentren vermittelt? , der Erwerb grundlegender praktischer Fertigkeiten 
"In den überbetrieblichen Kurszentren wird – ergänzend zur Bildung in Betrieb und Berufsfachschule – der Erwerb grundlegender praktischer Fertigkeiten vermittelt. Ob im entsprechenden Beruf ein überbetrieblicher Kurs erforderlich ist, wird in der jeweiligen Bildungsverordnung festgelegt. Die zu vermittelnden Lerninhalte sind ebenfalls in der Bildungsverordnung aufgeführt. Die Leistungen der Lernenden werden in Form von Kompetenznachweisen dokumentiert. Diese werden in Noten ausgedrückt und fliessen in einigen Berufen in die Berechnung der Erfahrungsnote ein.","Wo wird festgelegt, ob ein überbetrieblicher Kurs erforderlich ist? ", in der jeweiligen Bildungsverordnung 
"In den überbetrieblichen Kurszentren wird – ergänzend zur Bildung in Betrieb und Berufsfachschule – der Erwerb grundlegender praktischer Fertigkeiten vermittelt. Ob im entsprechenden Beruf ein überbetrieblicher Kurs erforderlich ist, wird in der jeweiligen Bildungsverordnung festgelegt. Die zu vermittelnden Lerninhalte sind ebenfalls in der Bildungsverordnung aufgeführt. Die Leistungen der Lernenden werden in Form von Kompetenznachweisen dokumentiert. Diese werden in Noten ausgedrückt und fliessen in einigen Berufen in die Berechnung der Erfahrungsnote ein.",Wo sind die zu vermittelnden Lerninhalte aufgeführt? , in der Bildungsverordnung 
"In den überbetrieblichen Kurszentren wird – ergänzend zur Bildung in Betrieb und Berufsfachschule – der Erwerb grundlegender praktischer Fertigkeiten vermittelt. Ob im entsprechenden Beruf ein überbetrieblicher Kurs erforderlich ist, wird in der jeweiligen Bildungsverordnung festgelegt. Die zu vermittelnden Lerninhalte sind ebenfalls in der Bildungsverordnung aufgeführt. Die Leistungen der Lernenden werden in Form von Kompetenznachweisen dokumentiert. Diese werden in Noten ausgedrückt und fliessen in einigen Berufen in die Berechnung der Erfahrungsnote ein.",Wie werden die Leistungen der Lernenden dokumentiert? , in Form von Kompetenznachweisen 
"In den überbetrieblichen Kurszentren wird – ergänzend zur Bildung in Betrieb und Berufsfachschule – der Erwerb grundlegender praktischer Fertigkeiten vermittelt. Ob im entsprechenden Beruf ein überbetrieblicher Kurs erforderlich ist, wird in der jeweiligen Bildungsverordnung festgelegt. Die zu vermittelnden Lerninhalte sind ebenfalls in der Bildungsverordnung aufgeführt. Die Leistungen der Lernenden werden in Form von Kompetenznachweisen dokumentiert. Diese werden in Noten ausgedrückt und fliessen in einigen Berufen in die Berechnung der Erfahrungsnote ein.",In welcher Form werden die Leistungen der Lernenden ausgedrückt? , in Noten 
"In den überbetrieblichen Kurszentren wird – ergänzend zur Bildung in Betrieb und Berufsfachschule – der Erwerb grundlegender praktischer Fertigkeiten vermittelt. Ob im entsprechenden Beruf ein überbetrieblicher Kurs erforderlich ist, wird in der jeweiligen Bildungsverordnung festgelegt. Die zu vermittelnden Lerninhalte sind ebenfalls in der Bildungsverordnung aufgeführt. Die Leistungen der Lernenden werden in Form von Kompetenznachweisen dokumentiert. Diese werden in Noten ausgedrückt und fliessen in einigen Berufen in die Berechnung der Erfahrungsnote ein.",In welchen Berufen fließen die Noten der Kompetenznachweise in die Berechnung der Erfahrungsnote ein? , in einigen Berufen 
"Träger der überbetrieblichen Kurse sind in der Regel die Berufsverbände. Der Besuch der überbetrieblichen Kurse ist für die Lernenden obligatorisch. Die kantonale Behörde kann auf Gesuch hin die lernende Person von der Kurspflicht befreien, wenn die entsprechenden Bildungsinhalte in einem betrieblichen Bildungszentrum oder in einer externen Lehrwerkstätte vermittelt werden.",Was sind die Träger der überbetrieblichen Kurse? , Träger der überbetrieblichen Kurse sind in der Regel die Berufsverbände. 
"Träger der überbetrieblichen Kurse sind in der Regel die Berufsverbände. Der Besuch der überbetrieblichen Kurse ist für die Lernenden obligatorisch. Die kantonale Behörde kann auf Gesuch hin die lernende Person von der Kurspflicht befreien, wenn die entsprechenden Bildungsinhalte in einem betrieblichen Bildungszentrum oder in einer externen Lehrwerkstätte vermittelt werden.",Ist der Besuch der überbetrieblichen Kurse für die Lernenden verpflichtend? , Der Besuch der überbetrieblichen Kurse ist für die Lernenden obligatorisch. 
"Träger der überbetrieblichen Kurse sind in der Regel die Berufsverbände. Der Besuch der überbetrieblichen Kurse ist für die Lernenden obligatorisch. Die kantonale Behörde kann auf Gesuch hin die lernende Person von der Kurspflicht befreien, wenn die entsprechenden Bildungsinhalte in einem betrieblichen Bildungszentrum oder in einer externen Lehrwerkstätte vermittelt werden.",Kann die kantonale Behörde eine lernende Person von der Kurspflicht befreien? , Die kantonale Behörde kann auf Gesuch hin die lernende Person von der Kurspflicht befreien. 
"Träger der überbetrieblichen Kurse sind in der Regel die Berufsverbände. Der Besuch der überbetrieblichen Kurse ist für die Lernenden obligatorisch. Die kantonale Behörde kann auf Gesuch hin die lernende Person von der Kurspflicht befreien, wenn die entsprechenden Bildungsinhalte in einem betrieblichen Bildungszentrum oder in einer externen Lehrwerkstätte vermittelt werden.",Unter welchen Bedingungen kann eine lernende Person von der Kurspflicht befreit werden? , wenn die entsprechenden Bildungsinhalte in einem betrieblichen Bildungszentrum oder in einer externen Lehrwerkstätte vermittelt werden. 
"In der Berufsfachschule werden der berufskundliche, der allgemeinbildende Unterricht sowie Sport vermittelt. Lernende, die in einzelnen Fächern Schwierigkeiten haben, können zusätzlich zum schulischen Unterricht Stützkurse besuchen. Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. Für interessierte Lernende, die die Voraussetzungen im Lehrbetrieb und in der Berufsfachschule erfüllen, bietet die Berufsfachschule auch Freikurse an. Die lernende Person muss den Besuch von Freikursen mit dem Lehrbetrieb absprechen.",Welche Fächer werden in der Berufsfachschule vermittelt? ," der berufskundliche, der allgemeinbildende Unterricht sowie Sport "
"In der Berufsfachschule werden der berufskundliche, der allgemeinbildende Unterricht sowie Sport vermittelt. Lernende, die in einzelnen Fächern Schwierigkeiten haben, können zusätzlich zum schulischen Unterricht Stützkurse besuchen. Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. Für interessierte Lernende, die die Voraussetzungen im Lehrbetrieb und in der Berufsfachschule erfüllen, bietet die Berufsfachschule auch Freikurse an. Die lernende Person muss den Besuch von Freikursen mit dem Lehrbetrieb absprechen.","Was können Lernende tun, wenn sie in einzelnen Fächern Schwierigkeiten haben? ", zusätzlich zum schulischen Unterricht Stützkurse besuchen 
"In der Berufsfachschule werden der berufskundliche, der allgemeinbildende Unterricht sowie Sport vermittelt. Lernende, die in einzelnen Fächern Schwierigkeiten haben, können zusätzlich zum schulischen Unterricht Stützkurse besuchen. Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. Für interessierte Lernende, die die Voraussetzungen im Lehrbetrieb und in der Berufsfachschule erfüllen, bietet die Berufsfachschule auch Freikurse an. Die lernende Person muss den Besuch von Freikursen mit dem Lehrbetrieb absprechen.",Kann die Berufsfachschule den Besuch von Stützkursen anordnen? , Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. 
"In der Berufsfachschule werden der berufskundliche, der allgemeinbildende Unterricht sowie Sport vermittelt. Lernende, die in einzelnen Fächern Schwierigkeiten haben, können zusätzlich zum schulischen Unterricht Stützkurse besuchen. Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. Für interessierte Lernende, die die Voraussetzungen im Lehrbetrieb und in der Berufsfachschule erfüllen, bietet die Berufsfachschule auch Freikurse an. Die lernende Person muss den Besuch von Freikursen mit dem Lehrbetrieb absprechen.","Was bietet die Berufsfachschule für interessierte Lernende an, die die Voraussetzungen erfüllen? ", Freikurse 
"In der Berufsfachschule werden der berufskundliche, der allgemeinbildende Unterricht sowie Sport vermittelt. Lernende, die in einzelnen Fächern Schwierigkeiten haben, können zusätzlich zum schulischen Unterricht Stützkurse besuchen. Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. Für interessierte Lernende, die die Voraussetzungen im Lehrbetrieb und in der Berufsfachschule erfüllen, bietet die Berufsfachschule auch Freikurse an. Die lernende Person muss den Besuch von Freikursen mit dem Lehrbetrieb absprechen.","Was muss die lernende Person tun, um Freikurse zu besuchen? ", den Besuch von Freikursen mit dem Lehrbetrieb absprechen. 
Während oder nach Abschluss einer beruflichen Grundbildung mit eidgenössischem Fähigkeitszeugnis kann unter bestimmten Voraussetzungen der Berufsmaturitätsunterricht besucht und das Berufsmaturitätszeugnis erworben werden. Personen mit Berufsmaturitätszeugnis und eidgenössischem Fähigkeitszeugnis erhalten prüfungsfrei Zugang an eine dem Beruf verwandte Studienrichtung an einer Fachhochschule (siehe Merkblatt 10 «Berufsmaturität (BM)»).,Wann kann der Berufsmaturitätsunterricht besucht werden? , Während oder nach Abschluss einer beruflichen Grundbildung mit eidgenössischem Fähigkeitszeugnis 
Während oder nach Abschluss einer beruflichen Grundbildung mit eidgenössischem Fähigkeitszeugnis kann unter bestimmten Voraussetzungen der Berufsmaturitätsunterricht besucht und das Berufsmaturitätszeugnis erworben werden. Personen mit Berufsmaturitätszeugnis und eidgenössischem Fähigkeitszeugnis erhalten prüfungsfrei Zugang an eine dem Beruf verwandte Studienrichtung an einer Fachhochschule (siehe Merkblatt 10 «Berufsmaturität (BM)»).,Welches Zeugnis kann durch den Berufsmaturitätsunterricht erworben werden? , das Berufsmaturitätszeugnis 
Während oder nach Abschluss einer beruflichen Grundbildung mit eidgenössischem Fähigkeitszeugnis kann unter bestimmten Voraussetzungen der Berufsmaturitätsunterricht besucht und das Berufsmaturitätszeugnis erworben werden. Personen mit Berufsmaturitätszeugnis und eidgenössischem Fähigkeitszeugnis erhalten prüfungsfrei Zugang an eine dem Beruf verwandte Studienrichtung an einer Fachhochschule (siehe Merkblatt 10 «Berufsmaturität (BM)»).,Was erhalten Personen mit Berufsmaturitätszeugnis und eidgenössischem Fähigkeitszeugnis? , prüfungsfrei Zugang an eine dem Beruf verwandte Studienrichtung an einer Fachhochschule 
Während oder nach Abschluss einer beruflichen Grundbildung mit eidgenössischem Fähigkeitszeugnis kann unter bestimmten Voraussetzungen der Berufsmaturitätsunterricht besucht und das Berufsmaturitätszeugnis erworben werden. Personen mit Berufsmaturitätszeugnis und eidgenössischem Fähigkeitszeugnis erhalten prüfungsfrei Zugang an eine dem Beruf verwandte Studienrichtung an einer Fachhochschule (siehe Merkblatt 10 «Berufsmaturität (BM)»).,Wo finden sich weitere Informationen zur Berufsmaturität? , siehe Merkblatt 10 «Berufsmaturität (BM)» 
"Die berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis dauert je nach Beruf drei oder vier Jahre. Die Dauer ist in der jeweiligen Bildungsverordnung geregelt. Es besteht die Möglichkeit, bei Bedarf die berufliche Grundbildung angemessen zu verlängern oder zu verkürzen.",Wie lange dauert die berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis? , je nach Beruf drei oder vier Jahre. 
"Die berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis dauert je nach Beruf drei oder vier Jahre. Die Dauer ist in der jeweiligen Bildungsverordnung geregelt. Es besteht die Möglichkeit, bei Bedarf die berufliche Grundbildung angemessen zu verlängern oder zu verkürzen.",Wovon hängt die Dauer der beruflichen Grundbildung ab? , in der jeweiligen Bildungsverordnung geregelt. 
"Die berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis dauert je nach Beruf drei oder vier Jahre. Die Dauer ist in der jeweiligen Bildungsverordnung geregelt. Es besteht die Möglichkeit, bei Bedarf die berufliche Grundbildung angemessen zu verlängern oder zu verkürzen.","Gibt es die Möglichkeit, die berufliche Grundbildung bei Bedarf zu verlängern oder zu verkürzen? "," Es besteht die Möglichkeit, bei Bedarf die berufliche Grundbildung angemessen zu verlängern oder zu verkürzen. "
"Die drei- oder vierjährige berufliche Grundbildung schliesst mit einem Qualifikationsverfahren (in der Regel mit einer Abschlussprüfung) ab. Dabei werden die in der Praxis erworbenen beruflichen Qualifikationen, die berufskundliche Bildung und die Allgemeinbildung geprüft.",Wie lange dauert die berufliche Grundbildung? , Die drei- oder vierjährige berufliche Grundbildung 
"Die drei- oder vierjährige berufliche Grundbildung schliesst mit einem Qualifikationsverfahren (in der Regel mit einer Abschlussprüfung) ab. Dabei werden die in der Praxis erworbenen beruflichen Qualifikationen, die berufskundliche Bildung und die Allgemeinbildung geprüft.",Womit schließt die berufliche Grundbildung ab? , mit einem Qualifikationsverfahren 
"Die drei- oder vierjährige berufliche Grundbildung schliesst mit einem Qualifikationsverfahren (in der Regel mit einer Abschlussprüfung) ab. Dabei werden die in der Praxis erworbenen beruflichen Qualifikationen, die berufskundliche Bildung und die Allgemeinbildung geprüft.",Was wird in der Regel für das Qualifikationsverfahren verwendet? , einer Abschlussprüfung 
"Die drei- oder vierjährige berufliche Grundbildung schliesst mit einem Qualifikationsverfahren (in der Regel mit einer Abschlussprüfung) ab. Dabei werden die in der Praxis erworbenen beruflichen Qualifikationen, die berufskundliche Bildung und die Allgemeinbildung geprüft.",Welche Aspekte werden im Qualifikationsverfahren geprüft? ," die in der Praxis erworbenen beruflichen Qualifikationen, die berufskundliche Bildung und die Allgemeinbildung "
"Für Lernende mit Behinderung kann das kantonale Berufsbildungsamt auf Antrag des Lehrbetriebs oder der lernenden Person einen Nachteilsausgleich für die Berufsfachschule, die überbetrieblichen Kurse und das Qualifikationsverfahren gewähren. Ein Nachteilsausgleich wird bei körperlichen Behinderungen oder Lern- und Leistungsschwierigkeiten wie zum Beispiel Legasthenie (Lese- und Rechtschreibschwäche), Dyskalkulie (Rechenschwäche) oder ADS (Aufmerksamkeits-Defizit-Störung) gewährt. (siehe auch Merkblattreihe «Gleiche Chancen und korrekter Umgang»)",Wer kann einen Nachteilsausgleich für Lernende mit Behinderung beantragen? , das kantonale Berufsbildungsamt 
"Für Lernende mit Behinderung kann das kantonale Berufsbildungsamt auf Antrag des Lehrbetriebs oder der lernenden Person einen Nachteilsausgleich für die Berufsfachschule, die überbetrieblichen Kurse und das Qualifikationsverfahren gewähren. Ein Nachteilsausgleich wird bei körperlichen Behinderungen oder Lern- und Leistungsschwierigkeiten wie zum Beispiel Legasthenie (Lese- und Rechtschreibschwäche), Dyskalkulie (Rechenschwäche) oder ADS (Aufmerksamkeits-Defizit-Störung) gewährt. (siehe auch Merkblattreihe «Gleiche Chancen und korrekter Umgang»)",Wofür kann ein Nachteilsausgleich gewährt werden? ," für die Berufsfachschule, die überbetrieblichen Kurse und das Qualifikationsverfahren "
"Für Lernende mit Behinderung kann das kantonale Berufsbildungsamt auf Antrag des Lehrbetriebs oder der lernenden Person einen Nachteilsausgleich für die Berufsfachschule, die überbetrieblichen Kurse und das Qualifikationsverfahren gewähren. Ein Nachteilsausgleich wird bei körperlichen Behinderungen oder Lern- und Leistungsschwierigkeiten wie zum Beispiel Legasthenie (Lese- und Rechtschreibschwäche), Dyskalkulie (Rechenschwäche) oder ADS (Aufmerksamkeits-Defizit-Störung) gewährt. (siehe auch Merkblattreihe «Gleiche Chancen und korrekter Umgang»)",Bei welchen Behinderungen oder Schwierigkeiten wird ein Nachteilsausgleich gewährt? ," körperlichen Behinderungen oder Lern- und Leistungsschwierigkeiten wie zum Beispiel Legasthenie (Lese- und Rechtschreibschwäche), Dyskalkulie (Rechenschwäche) oder ADS (Aufmerksamkeits-Defizit-Störung) "
"Für Lernende mit Behinderung kann das kantonale Berufsbildungsamt auf Antrag des Lehrbetriebs oder der lernenden Person einen Nachteilsausgleich für die Berufsfachschule, die überbetrieblichen Kurse und das Qualifikationsverfahren gewähren. Ein Nachteilsausgleich wird bei körperlichen Behinderungen oder Lern- und Leistungsschwierigkeiten wie zum Beispiel Legasthenie (Lese- und Rechtschreibschwäche), Dyskalkulie (Rechenschwäche) oder ADS (Aufmerksamkeits-Defizit-Störung) gewährt. (siehe auch Merkblattreihe «Gleiche Chancen und korrekter Umgang»)",Was ist Legasthenie? , Lese- und Rechtschreibschwäche 
"Für Lernende mit Behinderung kann das kantonale Berufsbildungsamt auf Antrag des Lehrbetriebs oder der lernenden Person einen Nachteilsausgleich für die Berufsfachschule, die überbetrieblichen Kurse und das Qualifikationsverfahren gewähren. Ein Nachteilsausgleich wird bei körperlichen Behinderungen oder Lern- und Leistungsschwierigkeiten wie zum Beispiel Legasthenie (Lese- und Rechtschreibschwäche), Dyskalkulie (Rechenschwäche) oder ADS (Aufmerksamkeits-Defizit-Störung) gewährt. (siehe auch Merkblattreihe «Gleiche Chancen und korrekter Umgang»)",Was ist Dyskalkulie? , Rechenschwäche 
"Für Lernende mit Behinderung kann das kantonale Berufsbildungsamt auf Antrag des Lehrbetriebs oder der lernenden Person einen Nachteilsausgleich für die Berufsfachschule, die überbetrieblichen Kurse und das Qualifikationsverfahren gewähren. Ein Nachteilsausgleich wird bei körperlichen Behinderungen oder Lern- und Leistungsschwierigkeiten wie zum Beispiel Legasthenie (Lese- und Rechtschreibschwäche), Dyskalkulie (Rechenschwäche) oder ADS (Aufmerksamkeits-Defizit-Störung) gewährt. (siehe auch Merkblattreihe «Gleiche Chancen und korrekter Umgang»)",Was ist ADS? , Aufmerksamkeits-Defizit-Störung 
"Für Lernende mit Behinderung kann das kantonale Berufsbildungsamt auf Antrag des Lehrbetriebs oder der lernenden Person einen Nachteilsausgleich für die Berufsfachschule, die überbetrieblichen Kurse und das Qualifikationsverfahren gewähren. Ein Nachteilsausgleich wird bei körperlichen Behinderungen oder Lern- und Leistungsschwierigkeiten wie zum Beispiel Legasthenie (Lese- und Rechtschreibschwäche), Dyskalkulie (Rechenschwäche) oder ADS (Aufmerksamkeits-Defizit-Störung) gewährt. (siehe auch Merkblattreihe «Gleiche Chancen und korrekter Umgang»)",Welche Merkblattreihe bezieht sich auf den Nachteilsausgleich? , Gleiche Chancen und korrekter Umgang 
"Der Inhaberin, dem Inhaber eines eidgenössischen Fähigkeitszeugnisses stehen eine Vielzahl von Weiterbildungsmöglichkeiten im Bereich der höheren Berufsbildung oder der berufsorientierten Weiterbildung offen.",Welche Möglichkeiten stehen Inhabern eines eidgenössischen Fähigkeitszeugnisses offen? , eine Vielzahl von Weiterbildungsmöglichkeiten im Bereich der höheren Berufsbildung oder der berufsorientierten Weiterbildung 
"Der Inhaberin, dem Inhaber eines eidgenössischen Fähigkeitszeugnisses stehen eine Vielzahl von Weiterbildungsmöglichkeiten im Bereich der höheren Berufsbildung oder der berufsorientierten Weiterbildung offen.",In welchem Bereich gibt es Weiterbildungsmöglichkeiten für Inhaber eines eidgenössischen Fähigkeitszeugnisses? , im Bereich der höheren Berufsbildung oder der berufsorientierten Weiterbildung 
